title,description,severity,detector_id,sample_code
Use of incorrect json type,"Don't use type `i64`, `i128`, `u64`, or `u128` as the parameters or return values of public interfaces (public functions without `#[private]` macro in a `#[near_bindgen]` struct). This is because the largest integer that json can support is 2^53-1. Type `I64`, `I128`, `U64`, and `U128` in Near SDK are recommended for developers.",High,incorrect-json-type,"pub struct ContractMetadata {
    pub version: String,
    pub owner: AccountId,
    pub guardians: Vec<AccountId>,
    pub pool_count: u64,  // should use `U64`
    pub state: RunningState,
    pub exchange_fee: u32,
    pub referral_fee: u32,
}

#[near_bindgen]
impl Contract {
    pub fn metadata(&self) -> ContractMetadata {  // `u64` in return type
        // ...
    }
}"
Lack of check for self-transfer,"Before transferring tokens to the receiver, the contract should check whether the receiver is the sender itself. Otherwise, attackers may mint infinite tokens by abusing this vulnerability.",High,self-transfer,"fn ft_transfer(&mut self, receiver_id: AccountId, amount: U128, memo: Option<String>) {
    // ...
    let sender_id = env::predecessor_account_id();
    let amount: Balance = amount.into();
    self.internal_transfer(&sender_id, &receiver_id, amount, memo);
}

pub fn internal_transfer(&mut self, sender_id: &AccountId, receiver_id: &AccountId, amount: Balance, memo: Option<String>) {
    require!(sender_id != receiver_id, ""Sender and receiver should be different"");
    // ...
}"
Lack of check for prepaid gas in `ft_transfer_call`,"In `ft_transfer_call`, the contract should check whether the prepaid_gas is enough for `ft_on_transfer` and `ft_resolve_transfer` before launching a cross-contract invocation.",Low,prepaid-gas,"fn ft_transfer_call(
    &mut self,
    receiver_id: AccountId,
    amount: U128,
    memo: Option<String>,
    msg: String,
) -> PromiseOrValue<U128> {
    require!(env::prepaid_gas() > GAS_FOR_FT_TRANSFER_CALL, ""More gas is required"");
    // ...
}"
Transfer action,Find all transfer actions. This detector can help to locate all the transfer actions for both native tokens and NEP 141 tokens.,Info,transfer,"// Promise::transfer
Promise::new(env::predecessor_account_id()).transfer(amount);

// NPE141 ft_transfer
ext_fungible_token::ft_transfer(
    sender_id.clone(),
    U128(amount),
    None,
    token_id,
    1,
    GAS_FOR_FT_TRANSFER,
)
.then(ext_self::exchange_callback_post_withdraw(
    token_id.clone(),
    sender_id.clone(),
    U128(amount),
    &env::current_account_id(),
    0,
    GAS_FOR_RESOLVE_TRANSFER,
))"
Changes to collections are not saved,"NEAR SDK provides some map collections which can store key-value mappings. You can use `get` to get a value by its key and insert or overwrite the value by calling `insert` with a specified key. The collections use borsh to serialize and deserialize, when you want to make some changes to a collection, you need to `get` an existing value and make changes to it, then `insert` it into the collection again. Without the `insert` function, the changes will not be saved to the contract.",High,unsaved-changes,"#[allow(unused)]
pub fn modify(&mut self, change: I128) {
    let mut balance = self
        .accounts
        .get(&env::predecessor_account_id())
        .unwrap_or_else(|| env::panic_str(""Account is not registered""));

    balance = balance
        .checked_add(change.0)
        .unwrap_or_else(|| env::panic_str(""Overflow""));

    // self.accounts
    //     .insert(&env::predecessor_account_id(), &balance);
}"
Check the integrity of NEP interfaces,"NEPs stand for Near Enhancement Proposals, which are some changes to the NEAR protocol specification and standards. Currently, there are NEPs for FT, NFT, MT and storage, listed in a table.",Medium,nep${id}-interface,"./rustle ~/Git/near-sdk-rs/near-contract-standards -t ~/Git/near-sdk-rs -d nep141-interface  # Fungible Token Standard
./rustle ~/Git/near-sdk-rs/near-contract-standards -t ~/Git/near-sdk-rs -d nep145-interface  # Storage Management
./rustle ~/Git/near-sdk-rs/near-contract-standards -t ~/Git/near-sdk-rs -d nep171-interface  # Non Fungible Token Standard"
Improper rounding without ceil or floor specified,Find if there is rounding used in arithmetic operations. Rounding without specifying direction may be exploited in DeFi.,Medium,round,let fee = (amount * fee_rate).round();
Promise result,"Find all uses of `env::promise_result`, which provides the result of promise execution. This detector helps to quickly locate the logic of handling promise results.",Info,promise-result,"let cross_call_result = match env::promise_result(0) {
    PromiseResult::Successful(result) => result,
    _ => env::panic(ERR124_CROSS_CALL_FAILED.as_bytes()),
};"
Lack of check approval id during NFT transfer,"In the design of the NEP-178, the owner of the NFT can approve or revoke approvals by using the specified interfaces (ie, `nft_approve`, `nft_revoke` and `nft_revoke_all`). An owner check should be implemented for these interfaces to make sure they are callable to the owner only, otherwise, anyone can modify the approvals of the NFT.",High,nft-owner-check,"let owner_id = expect_token_found(self.owner_by_id.get(&token_id));
let predecessor_account_id = env::predecessor_account_id();

require!(predecessor_account_id == owner_id, ""Predecessor must be token owner."");"
Panic in callback may lock the contract,"It's not recommended to use `assert` or `require` or anything that will result in panic in a callback function. In Near, the callback function needs to recover some state changes made by a failed promise. If the callback function panics, the state may not be fully recovered, which results in unexpected results.",Medium,lock-callback,"fn process_order(&mut self, order_id: u32) -> Promise {
    let receiver = self.get_receiver(order_id);
    let amount = self.get_amount(order_id);
    self.delete_order(order_id);
    ext_contract::do_transfer(receiver, amount).then(ext_self::callback_transfer(order_id))
}

// ext_self::callback_transfer
#[private]
pub fn callback_transfer(&mut self, order_id: u32) {
    assert!(order_id > 0);

    match env::promise_result(0) {
        PromiseResult::NotReady => unreachable!(),
        PromiseResult::Successful(_) => {}
        PromiseResult::Failed => {
            self.recover_order(order_id);
        }
    };
}"
Missing check for the storage fee before trying to unregister the storage,"According to NEP-145, if the owner of an account tries to close the account, he needs to unregister the storage with a zero balance unless the `force` flag is set. So the implementation of NEP-145 should comply with this rule.",Low,unclaimed-storage-fee,"fn storage_unregister(&mut self, force: Option<bool>) -> bool {
    assert_one_yocto();
    let account_id = env::predecessor_account_id();
    let force = force.unwrap_or(false);
    if let Some(balance) = self.accounts.get(&account_id) {
        if balance == 0 || force {
            self.accounts.remove(&account_id);
            self.total_supply -= balance;
            Promise::new(account_id.clone()).transfer(self.storage_balance_bounds().min.0 + 1);
            true
        } else {
            env::panic_str(
                ""Can't unregister the account with the positive balance without force"",
            )
        }
    } else {
        log!(""The account {} is not registered"", &account_id);
        false
    }
}"
Unhandled promise's result,"Promise results should always be handled by a callback function or another promise. It is not recommended to leave promises unhandled in contracts. Otherwise, the changed state cannot be rolled back if the promise failed.",High,unhandled-promise,"token.ft_transfer_call(receiver, U128(amount), None, """".to_string());"
